native species audoban,native species audoban,Park Trees,Park Trees,Street trees,Street trees,,",",""""
"""Acer negundo"",",Acer negundo,"""Acer rubrum"", ","""Acer_rubrum"", ","""Acer platanoides"",",Acer platanoides,,",",""""
"""Acer rubrum"",",Acer rubrum,"""Acer platanoides"", ","""Acer_platanoides"", ","""Acer rubrum"",",Acer rubrum,,",",""""
"""Acer saccharinum"",",Acer saccharinum,"""Acer freemanii"", ","""Acer_freemanii"", ","""Acer saccharinum"",",Acer saccharinum,,",",""""
"""Alnus serrulata"",",Alnus serrulata,"""Acer saccharum"", ","""Acer_saccharum"", ","""Fagus grandifolia"",",Fagus grandifolia,,",",""""
"""Amelanchier arborea"",",Amelanchier arborea,"""Acer negundo"", ","""Acer_negundo"", ","""Fraxinus pennsylvanica"",",Fraxinus pennsylvanica,,",",""""
"""Baccharis halimifolia"",",Baccharis halimifolia,"""Acer saccharinum"", ","""Acer_saccharinum"", ","""Ginkgo biloba"",",Ginkgo biloba,,",",""""
"""Carpinus caroliniana"",",Carpinus caroliniana,"""Acer campestre"", ","""Acer_campestre"", ","""Gleditsia triacanthos"",",Gleditsia triacanthos,,",",""""
"""Carya cordiformis"",",Carya cordiformis,"""Acer palmatum"", ","""Acer_palmatum"", ","""Gymnocladus dioica"",",Gymnocladus dioicus,,",",""""
"""Carya glabra"",",Carya glabra,"""Acer pseudoplatanus"", ","""Acer_pseudoplatanus"", ","""Koelreuteria paniculata"",",Koelreuteria paniculata,,",",""""
"""Carya ovata"",",Carya ovata,"""Aesculus hippocastanum"", ","""Aesculus_hippocastanum"", ","""Platanus hybrida"",",Platanus hybridia,,",",""""
"""Carya tomentosa"",",Carya tomentosa,"""Aesculus flava"", ","""Aesculus_flava"", ","""Pyrus calleryana"",",Pyrus calleryana,,",",""""
"""Castanea dentata"",",Castanea dentata,"""Aesculus pavia"", ","""Aesculus_pavia"", ","""Quercus bicolor"",",Quercus bicolor,,",",""""
"""Celtis occidentalis"",",Celtis occidentalis,"""Aesculus parviflora"", ","""Aesculus_parviflora"", ","""Quercus imbricaria"",",Quercus imbricaria,,",",""""
"""Chamaecyparis thyoides"",",Chamaecyparis thyoides,"""Amelanchier canadensis"", ","""Amelanchier_canadensis"", ","""Quercus palustris"",",Quercus palustris,,",",""""
"""Cornus alternifolia"",",Cornus alternifolia,"""Amelanchier NA"", ","""Amelanchier_NA"", ","""Quercus phellos"",",Quercus phellos,,",",""""
"""Cornus florida"",",Cornus florida,"""Amelanchier laevis"", ","""Amelanchier_laevis"", ","""Quercus rubra"",",Quercus rubra,,",",""""
"""Cornus racemosa"",",Cornus racemosa,"""Amelanchier arborea"", ","""Amelanchier_arborea"", ","""Quercus velutina"",",Quercus velutina,,",",""""
"""Crataegus crus-galli"",",Crataegus crus-galli,"""Amelanchier sanguinea"", ","""Amelanchier_sanguinea"", ","""Robinia pseudoacacia"",",Robinia pseudoacacia,,",",""""
"""Diospyros virginiana"",",Diospyros virginiana,"""Carpinus caroliniana"", ","""Carpinus_caroliniana"", ","""Styphnolobium japonicum"",",Styphnolobium japonicum,,",",""""
"""Fraxinus americana"",",Fraxinus americana,"""Carpinus betulus"", ","""Carpinus_betulus"", ","""Syringa reticulata"",",Syringa reticulata,,",",""""
"""Fraxinus pennsylvanica"",",Fraxinus pennsylvanica,"""Carya ovata"", ","""Carya_ovata"", ","""Tilia americana"",",Tilia americana,,",",""""
"""Hamamelis virginiana"",",Hamamelis virginiana,"""Carya cordiformis"", ","""Carya_cordiformis"", ","""Tilia cordata"",",Tilia cordata,,",",""""
"""Juglans nigra"",",Juglans nigra,"""Carya glabra"", ","""Carya_glabra"", ","""Tilia tomentosa"",",Tilia tomentosa,,",",""""
"""Juniperus virginiana"",",Juniperus virginiana,"""Celtis occidentalis"", ","""Celtis_occidentalis"", ","""Ulmus americana"",",Ulmus americana,,",",""""
"""Kalmia latifolia"",",Kalmia latifolia,"""Celtis sinensis"", ","""Celtis_sinensis"", ","""Ulmus parvifolia"",",Ulmus parvifolia,,",",""""
"""Larix laricina"",",Larix laricina,"""Cercis canadensis"", ","""Cercis_canadensis"", ","""Zelkova serrata""",Zelkova serrata,,",",""""
"""Liquidambar styraciflua"",",Liquidambar styraciflua,"""Chionanthus virginicus"", ","""Chionanthus_virginicus"", ", , ,,",",""""
"""Liriodendron tulipifera"",",Liriodendron tulipifera,"""Baeolophus bicolor"", ","""Baeolophus_bicolor"", ", , ,,",",""""
"""Morus rubra"",",Morus rubra,"""Quiscalus quiscula"", ","""Quiscalus_quiscula"", ",,,,,
"""Ostrya virginiana"",",Ostrya virginiana,"""Hedera helix"", ","""Hedera_helix"", ",,,,,
"""Pinus resinosa"",",Pinus resinosa,"""Asplenium platyneuron"", ","""Asplenium_platyneuron"", ",,,,,
"""Pinus rigida"",",Pinus rigida,"""Buteo jamaicensis"", ","""Buteo_jamaicensis"", ",,,,,
"""Pinus strobus"",",Pinus strobus,"""Mimus polyglottos"", ","""Mimus_polyglottos"", ",,,,,
"""Platanus occidentalis"",",Platanus occidentalis,"""Xylobolus frustulatus"", ","""Xylobolus_frustulatus"", ",,,,,
"""Populus deltoides"",",Populus deltoides,"""Passer domesticus"", ","""Passer_domesticus"", ",,,,,
"""Populus tremuloides"",",Populus tremuloides,"""Oxyura jamaicensis"", ","""Oxyura_jamaicensis"", ",,,,,
"""Prunus pensylvanica"",",Prunus pensylvanica,"""Aix sponsa"", ","""Aix_sponsa"", ",,,,,
"""Prunus serotina"",",Prunus serotina,"""Turdus migratorius"", ","""Turdus_migratorius"", ",,,,,
"""Prunus virginiana"",",Prunus virginiana,"""Phlebia tremellosa"", ","""Phlebia_tremellosa"", ",,,,,
"""Ptelea trifoliata"",",Ptelea trifoliata,"""Gavia immer"", ","""Gavia_immer"", ",,,,,
"""Quercus alba"",",Quercus alba,"""Rubus fruticosus"", ","""Rubus_fruticosus"", ",,,,,
"""Quercus montana"",",Quercus montana,"""Sciurus carolinensis"", ","""Sciurus_carolinensis"", ",,,,,
"""Quercus palustris"",",Quercus palustris,"""Cyanocitta cristata"", ","""Cyanocitta_cristata"", ",,,,,
"""Quercus prinoides"",",Quercus prinoides,"""Ilex opaca"", ","""Ilex_opaca"", ",,,,,
"""Quercus rubra"",",Quercus rubra,"""Phalacrocorax auritus"", ","""Phalacrocorax_auritus"", ",,,,,
"""Rhus copallinum"",",Rhus copallinum,"""Catharus guttatus"", ","""Catharus_guttatus"", ",,,,,
"""Rhus glabra"",",Rhus glabra,"""Poronidulus conchifer"", ","""Poronidulus_conchifer"", ",,,,,
"""Rhus typhina"",",Rhus typhina,"""Polystichum acrostichoides"", ","""Polystichum_acrostichoides"", ",,,,,
